District #,County #,Locale,Labor Force Diff,Employed Diff,Unemployed Level Diff,Unemployed Rate Diff,Median Age 10,Median Age Male 10,Median Age Female 10,# of Households 10,Avg Household Size 10,# of Families 10,Avg Family Size 10,# of Housing Units 10,County Population,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23,% County Infected 09/28/20,% County Deaths 09/28/20,% County Infected 10/30/20,% County Deaths 10/30/20,% County Infected 01/29/21,% County Deaths 01/29/21,% On Campus 09/28/20,% On Campus 10/30/20,% On Campus 01/29/21,% White Pop 10,% Black Pop 10,% Asian Pop 10,% Hispanic Pop 10,% Male Pop 10,% Female Pop 10,% Age 0-4 Pop 10,% Age 5-9 Pop 10,% Age 10-14 Pop 10,% Age 15-19 Pop 10,% Age 20-24 Pop 10,% Age 25-34 Pop 10,% Age 35-44 Pop 10,% Age 45-54 Pop 10,% Age 55-64 Pop 10,% Age 65-74 Pop 10,% Age 75-84 Pop 10,% Age 85-Up Pop 10,% HH 1 Male 10,% HH 1 Female 10,% HH Married-Child 10,% HH Married-noChild 10,% HH Male-Child 10,% HH Female-Child 10,% Housing Vacant 10,% Housing Owner Occup 10,% Housing Renter Occup 10,Total Schools Diff,Total Students Diff,% Operational Schools Diff,% Title 1 School-wide Diff,% Title 1 Eligible Diff,Teachers:Students Diff,Staff:Students Diff,% Free Lunch Diff,% Reduced-price Lunch Diff,% Asian Diff,% Hispanic Diff,% Black Diff,% White Diff,% Grades 1-8 Diff,% Grades 9-12 Diff,% Prek Diff,% Kinder Diff,% ADA Diff,% Tested Math G3 Diff,% Tested Reading G3 Diff,% Tested Math G4 Diff,% Tested Reading G4 Diff,% Tested Math G5 Diff,% Tested Reading G5 Diff,% Tested Math G6 Diff,% Tested Reading G6 Diff,% Tested Math G7 Diff,% Tested Reading G7 Diff,% Tested Math G8 Diff,% Tested Reading G8 Diff,Label_Math,Label_Reading,Label_All
57816,48113.0,11-City: Large,0.13338407440671,0.0492293062336777,10.531245294383377,0.5999999999999999,57470.6,55794.9,58930.2,855960,4695.01,559417,5622.22,943257,2635516.0,504727.0,1716028.0,3855200.0,0.0,0.0,0.030800420107485592,0.0004507656185733648,0.036198603992538846,0.0005167868455361304,0.09625591345300123,0.0012433997744654179,0.41474311243484735,0.402315484804631,0.3846720707442889,0.5353828470372727,0.22304433988038708,0.050355996839712536,0.3825535578781482,0.49448195397314093,0.505518046026859,0.08143018631929967,0.07749165061679235,0.07322332008382954,0.07144555281594535,0.07245393957027016,0.16259222959463107,0.14483398145125773,0.13423325235554162,0.09447502870397388,0.04929440374910425,0.02762886806897737,0.010897586670377034,0.13035422215991402,0.14985279685966635,0.23408453666059162,0.20201060797233517,0.03255876442824431,0.11004836674610963,0.09254847830442817,0.48315676427527177,0.4242947574203001,0.0,-0.33637236084452976,0.0,0.0,0.0,0.0009730113814060607,0.17893190203385437,0.5343121058453405,0.1917964898442123,3.52060737527115,-0.1195820842168547,0.0017474398986300427,-0.35419894638983573,0.15084337713964743,0.0,-0.3893868243109024,0.5284988254505323,-0.024264265109152774,-0.7944382647385985,-0.7687430478309232,-0.5790123456790123,-0.5885802469135802,-0.6748492678725238,-0.6748492678725238,-0.7561369509043928,-0.7699278267842823,-0.5797752808988764,-0.5797752808988764,-0.725,-0.7053571428571429,0,0,0
57829,48113.0,11-City: Large,0.13338407440671,0.0492293062336777,10.531245294383377,0.5999999999999999,57470.6,55794.9,58930.2,855960,4695.01,559417,5622.22,943257,2635516.0,486940.0,2191417.0,4923202.0,0.0,0.0,0.030800420107485592,0.0004507656185733648,0.036198603992538846,0.0005167868455361304,0.09625591345300123,0.0012433997744654179,0.363013698630137,0.551510989010989,0.5942028985507246,0.5353828470372727,0.22304433988038708,0.050355996839712536,0.3825535578781482,0.49448195397314093,0.505518046026859,0.08143018631929967,0.07749165061679235,0.07322332008382954,0.07144555281594535,0.07245393957027016,0.16259222959463107,0.14483398145125773,0.13423325235554162,0.09447502870397388,0.04929440374910425,0.02762886806897737,0.010897586670377034,0.13035422215991402,0.14985279685966635,0.23408453666059162,0.20201060797233517,0.03255876442824431,0.11004836674610963,0.09254847830442817,0.48315676427527177,0.4242947574203001,0.0,0.0333569907735983,0.0,0.0,0.0,0.0380242086972857,0.07396361504628086,-0.060534811903425044,0.11788319439181513,-0.1705259026687598,0.03825108081573592,-0.17835113000207328,-0.5399364979283012,-0.036872009959198676,0.0909794812233835,0.07895193886573193,-0.08506493506493505,-0.04293060807015949,0.10540479928235019,0.1284340659340658,0.029702970297029712,0.029702970297029712,-0.021972406745017832,-0.013317295300283515,0.07250945775535948,0.07250945775535948,-0.014904074837482179,-0.014904074837482179,-0.08064516129032262,-0.08064516129032262,-1,0,-1
109901,48217.0,42-Rural: Distant,0.0382668806320207,0.0202387792887697,0.562152133580705,0.5151515151515152,989.8,964.8,1014.0,13238,62.53,9524,74.18,16118,36649.0,24677.0,89211.0,200420.0,0.0,0.0,0.017735818166934977,0.00038200223744167645,0.023274850609839286,0.00043657398564763024,0.06796911239051542,0.0022647275505470817,0.9236111111111112,0.967391304347826,0.9854014598540146,0.8352190145059706,0.06338168656844025,0.0033628772549801934,0.18316281455726866,0.4904101000313489,0.5095898999686511,0.06529111687423408,0.0675710336572715,0.07036393171649234,0.06708655134087606,0.05682692581720767,0.1055601470546325,0.1142238308301747,0.13670951010288124,0.1334606286870529,0.10159879164410499,0.058679358203425576,0.022628174071646384,0.11021302311527421,0.1307599335247016,0.22080374678954526,0.33630457773077505,0.027043360024172836,0.07365160900438132,0.17868221863754807,0.6203623278322372,0.20095545353021466,0.0,-0.010830324909747292,0.0,0.0,0.0,0.04763488599593657,0.05441970802919701,0.36258330688670265,-0.3260340632603406,0.0,0.23560421735604228,1.021897810218978,-0.04569909388371514,0.12327656123276563,-0.14538339980434936,-0.10798626019750959,-0.09546676911256247,0.018625102603752417,-0.04999999999999995,-0.04999999999999995,0.050000000000000044,0.050000000000000044,0.0,0.0,-0.07638888888888884,-0.07638888888888884,-0.0625,-0.0625,-0.10000000000000003,-0.10000000000000003,0,0,0
95901,48189.0,31-Town: Fringe,-0.0104642471555518,-0.0272079276773296,0.3482309124767225,0.3555555555555554,996.7,969.6,1028.2,11846,85.52,8781,99.57,13541,33406.0,148782.0,547022.0,1228930.0,0.0,0.0,0.055828294318385915,0.001676345566664671,0.08016523977728551,0.002155301442854577,0.17436987367538764,0.0044602765970185,0.937733499377335,0.924223602484472,0.9893333333333333,0.7076889146196895,0.05306977641772117,0.003914757533151379,0.5587902847848262,0.5165550133708268,0.48344498662917323,0.08314724450693353,0.08072119758498056,0.07898436853858241,0.07810216965787224,0.07917734954373777,0.13205414495630358,0.12276348799382461,0.12805668127808562,0.09472610481625451,0.06205717751495603,0.043531001020042454,0.016679072588426654,0.10180651696775282,0.1204626034104339,0.26650346108391015,0.27215937869322976,0.03959142326523721,0.10805335134222523,0.12517539325012925,0.5648031903109076,0.31002141643896314,0.0,0.038461538461538464,0.0,0.0,0.0,0.027396514161220062,-0.04227681310181119,-0.05873761085028684,-0.06052393857271912,-0.037037037037037056,-0.030223619846261342,0.4979423868312755,0.03257474341811691,-0.04131687242798355,0.019607843137254832,0.2745098039215686,0.07918263090676879,0.009023602454017832,0.02083333333333326,0.02083333333333326,0.019917582417582423,0.019917582417582423,0.00926585887384169,0.00926585887384169,0.022235576923077063,0.022235576923077063,0.07017543859649118,0.07017543859649118,0.11341585814653724,0.032786885245901676,1,0,1
221901,48441.0,12-City: Mid-size,0.017713194739075,0.0021995164183761,0.5436277102062401,0.4827586206896551,4045.5,3889.5,4196.0,50725,286.14,33446,344.95,55750,138034.0,3970117.0,18732848.0,42084907.0,0.0,0.0,0.01075821898952432,0.0004201863309039802,0.015916368430966284,0.0005795673529710071,0.1029746294391237,0.0024559166582146428,0.8252297090352221,0.8437894471093158,0.8674079854337365,0.7939485650844829,0.07375328882332365,0.015763539306191354,0.22108496950709472,0.4868827277842836,0.5131172722157163,0.07493194226879382,0.06749501923866591,0.06373853664471583,0.07768466838014995,0.10278618466077594,0.13796328684622755,0.10965279150761181,0.12999406871169375,0.10378994114336988,0.06779918786975499,0.04602071388377717,0.01814365884446337,0.12384425825529817,0.1497486446525382,0.2113947757516018,0.27377033021192704,0.02756037456875308,0.09090192212912765,0.09013452914798206,0.5557668161434978,0.3540986547085202,-0.03225806451612903,-0.05797536797837188,0.033333333333333305,0.03333333333333334,0.03333333333333334,0.08049272085267821,0.08807596223154122,-0.019670413011515096,0.04407738872514276,-0.25656222084793523,0.04433540375692578,-0.027114032754064932,-0.02639725173618867,-0.023935716083111614,0.07471685227565755,-0.047168905212687504,-0.036164992518068005,0.005036714606268162,0.014390973981118993,0.018612467307336785,-0.05330623568311692,-0.05596971865118738,-0.01732686640981837,-0.017801396001265537,-0.0267044093898328,-0.024006674025917177,-0.03221013471935452,-0.03644496980425991,-0.061705131449903444,-0.04654329044329964,0,0,0
57814,48113.0,11-City: Large,0.13338407440671,0.0492293062336777,10.531245294383377,0.5999999999999999,57470.6,55794.9,58930.2,855960,4695.01,559417,5622.22,943257,2635516.0,319147.0,1353483.0,3040713.0,0.0,0.0,0.030800420107485592,0.0004507656185733648,0.036198603992538846,0.0005167868455361304,0.09625591345300123,0.0012433997744654179,0.027210884353741496,0.3925233644859813,0.3548387096774194,0.5353828470372727,0.22304433988038708,0.050355996839712536,0.3825535578781482,0.49448195397314093,0.505518046026859,0.08143018631929967,0.07749165061679235,0.07322332008382954,0.07144555281594535,0.07245393957027016,0.16259222959463107,0.14483398145125773,0.13423325235554162,0.09447502870397388,0.04929440374910425,0.02762886806897737,0.010897586670377034,0.13035422215991402,0.14985279685966635,0.23408453666059162,0.20201060797233517,0.03255876442824431,0.11004836674610963,0.09254847830442817,0.48315676427527177,0.4242947574203001,-0.2,-0.3900990099009901,0.0,0.0,0.0,0.670636495964007,0.6646680240780916,0.0,0.0,0.6396103896103897,-0.13560289083301627,0.12723214285714285,0.04752886002886008,-0.3520894428152493,0.11459078978764022,0.0,0.0,-0.13591529530168472,0.0,0.0,0.0,0.0,-0.6666666666666667,-0.6666666666666667,0.8518518518518519,1.0833333333333333,0.031007751937984593,0.055555555555555525,0.1533164189923887,0.12796880538816022,1,1,1
14901,48027.0,41-Rural: Fringe,0.0382647495583753,0.0178675996954968,0.5474145806687375,0.4615384615384616,6122.9,5962.9,6287.2,114035,485.57,80449,582.08,125470,362924.0,87745.0,365709.0,821596.0,270526.0,270527.0,0.015080292292601206,0.0002534965998390848,0.018003769384223694,0.0002865613737311393,0.050021492103029835,0.0008762165081394452,0.8187535734705546,0.8969310943833236,0.9722543352601156,0.6142214772672329,0.21499830773445935,0.028197978951440036,0.21599755024416975,0.49467016938772224,0.5053298306122778,0.09143068963849985,0.07893048817831644,0.07166180476090706,0.0712878946604993,0.09670411139942302,0.17031605073573258,0.12572082453623865,0.12022499073283156,0.08668267603590826,0.04845359163214982,0.027646783889632053,0.010940093799861396,0.11733239794799842,0.12218178629368176,0.25929758407506465,0.2517560398123383,0.030069715438242644,0.11441224185557065,0.09113732366302701,0.5054913525145454,0.4033713238224277,0.0,0.044794188861985475,0.0,0.0,0.0,0.06084307117327378,0.11766701471112721,-0.23164947254888585,-0.5214368482039398,-0.17049053688682883,0.05986867516415606,-0.0053393315611296585,-0.013370256405946515,0.005730373696407851,0.03582335522080603,-0.3491541135573581,-0.035396147161066115,0.028109428211356903,-0.023715415019762858,-0.023715415019762858,0.02676273803396806,0.019042717447246473,0.018024691358024682,0.018024691358024682,-0.02196603832372647,-0.02196603832372647,-0.08465530022238697,0.06478873239436624,-0.060333761232349195,0.032786885245901634,0,0,0
57810,48113.0,11-City: Large,0.13338407440671,0.0492293062336777,10.531245294383377,0.5999999999999999,57470.6,55794.9,58930.2,855960,4695.01,559417,5622.22,943257,2635516.0,180574.0,650831.0,1462146.0,0.0,0.0,0.030800420107485592,0.0004507656185733648,0.036198603992538846,0.0005167868455361304,0.09625591345300123,0.0012433997744654179,0.0,0.4340175953079179,0.5479876160990712,0.5353828470372727,0.22304433988038708,0.050355996839712536,0.3825535578781482,0.49448195397314093,0.505518046026859,0.08143018631929967,0.07749165061679235,0.07322332008382954,0.07144555281594535,0.07245393957027016,0.16259222959463107,0.14483398145125773,0.13423325235554162,0.09447502870397388,0.04929440374910425,0.02762886806897737,0.010897586670377034,0.13035422215991402,0.14985279685966635,0.23408453666059162,0.20201060797233517,0.03255876442824431,0.11004836674610963,0.09254847830442817,0.48315676427527177,0.4242947574203001,0.0,-0.2997946611909651,0.0,0.0,0.0,0.15233131332383282,-0.019919766541502203,0.0033223207988418565,-0.28592375366568906,0.0,-0.08101491776106082,0.011286359673456363,-1.0,0.11132685436329604,0.0,-0.2668817204301076,0.16848840309250862,0.10473829336716858,-0.003952569169960471,-0.003952569169960471,-0.07368421052631581,-0.07368421052631581,0.17241379310344832,0.17241379310344832,-0.10204081632653053,-0.10204081632653053,0.11895161290322581,0.11895161290322581,-0.10303030303030297,-0.12794612794612792,-1,-1,-1
180903,48359.0,43-Rural: Remote,0.0188888888888888,0.0125858123569794,0.2307692307692307,0.2068965517241379,69.6,57.3,76.3,691,5.13,516,5.93,841,2112.0,11258.0,61882.0,139023.0,0.0,0.0,0.008049242424242424,0.0004734848484848485,0.01278409090909091,0.000946969696969697,0.08901515151515152,0.001893939393939394,1.0,0.9836065573770492,1.0,0.9015594541910331,0.030214424951267055,0.008284600389863547,0.11842105263157894,0.5043859649122807,0.4956140350877193,0.04873294346978557,0.07748538011695906,0.12134502923976608,0.12183235867446393,0.028265107212475632,0.10769980506822611,0.10721247563352826,0.14035087719298245,0.12280701754385964,0.0726120857699805,0.039473684210526314,0.012183235867446393,0.08104196816208394,0.1345875542691751,0.2532561505065123,0.38205499276411,0.015918958031837915,0.05499276410998553,0.178359096313912,0.5636147443519619,0.25802615933412604,0.0,0.042735042735042736,0.0,0.0,0.0,-0.09012328952716428,0.005775022893651732,0.08333333333333327,-0.12090163934426224,0.0,-0.08267997148966495,0.0,0.1333830104321907,0.0339395491803277,-0.10491803278688532,-0.5204918032786886,1.1577868852459015,0.10125233526962973,-0.19999999999999996,-0.19999999999999996,-0.16666666666666663,-0.16666666666666663,-0.11111111111111116,-0.11111111111111116,-0.31818181818181823,-0.31818181818181823,-0.11111111111111108,-0.11111111111111108,-0.1333333333333333,-0.1333333333333333,-1,-1,-1
57806,48113.0,21-Suburb: Large,0.13338407440671,0.0492293062336777,10.531245294383377,0.5999999999999999,57470.6,55794.9,58930.2,855960,4695.01,559417,5622.22,943257,2635516.0,396824.0,1437759.0,3230046.0,0.0,0.0,0.030800420107485592,0.0004507656185733648,0.036198603992538846,0.0005167868455361304,0.09625591345300123,0.0012433997744654179,0.3383458646616541,0.39072847682119205,0.6295358649789029,0.5353828470372727,0.22304433988038708,0.050355996839712536,0.3825535578781482,0.49448195397314093,0.505518046026859,0.08143018631929967,0.07749165061679235,0.07322332008382954,0.07144555281594535,0.07245393957027016,0.16259222959463107,0.14483398145125773,0.13423325235554162,0.09447502870397388,0.04929440374910425,0.02762886806897737,0.010897586670377034,0.13035422215991402,0.14985279685966635,0.23408453666059162,0.20201060797233517,0.03255876442824431,0.11004836674610963,0.09254847830442817,0.48315676427527177,0.4242947574203001,0.0,-0.28537596210775606,0.0,0.0,0.0,-0.09592939969544749,0.016693581228146487,0.16471058407498249,-0.8478981304708044,-0.2744177483199852,0.015147472198867964,0.19808420915446392,-0.3682317284196617,0.052534392818322916,0.26535810608330834,-0.522341628959276,-0.013416938363145397,0.05512619035619968,-0.09688581314878893,-0.12197231833910037,-0.021887824897400834,-0.04797081623347017,-0.1496643411873108,-0.1396603922601027,-0.07692307692307701,-0.11538461538461545,0.09607351712614871,0.05151768309663041,-0.10181773520019653,-0.10936548532456462,-1,-1,-1
